,qu
0.10%,15.40546296
0.20%,23.47938889
0.30%,27.45265741
0.40%,30.64366667
0.50%,32.53381944
0.60%,34.30555556
0.70%,35.94216435
0.80%,37.18861111
0.90%,38.40277778
1.00%,39.28090278
1.10%,40.16629167
1.20%,41.18816667
1.30%,42.01798611
1.40%,42.63888889
1.50%,43.50302083
1.60%,44.25059259
1.70%,44.90740741
1.80%,45.46594444
1.90%,46
2.00%,46.49708333
2.10%,47.01388889
2.20%,47.5
2.30%,47.96296296
2.40%,48.31240741
2.50%,48.81944444
2.60%,49.28240741
2.70%,49.69432639
2.80%,50.06944444
2.90%,50.39351852
3.00%,50.74074074
3.10%,51.03470833
3.20%,51.3617037
3.30%,51.68981481
3.40%,51.99074074
3.50%,52.33796296
3.60%,52.5892963
3.70%,52.84722222
3.80%,53.10071759
3.90%,53.35648148
4.00%,53.61111111
4.10%,53.88888889
4.20%,54.14351852
4.30%,54.40972222
4.40%,54.62962963
4.50%,54.8856713
4.60%,55.09259259
4.70%,55.30092593
4.80%,55.55555556
4.90%,55.77529167
5.00%,56.01215278
5.10%,56.20461806
5.20%,56.38888889
5.30%,56.57407407
5.40%,56.73611111
5.50%,56.94444444
5.60%,57.10751852
5.70%,57.29166667
5.80%,57.43055556
5.90%,57.61574074
6.00%,57.79490741
6.10%,57.96296296
6.20%,58.14814815
6.30%,58.33333333
6.40%,58.50990741
6.50%,58.64503472
6.60%,58.81944444
6.70%,58.98148148
6.80%,59.14351852
6.90%,59.28240741
7.00%,59.40993056
7.10%,59.51388889
7.20%,59.65277778
7.30%,59.77700926
7.40%,59.93055556
7.50%,60.09259259
7.60%,60.23148148
7.70%,60.37037037
7.80%,60.48611111
7.90%,60.625
8.00%,60.75
8.10%,60.87962963
8.20%,61.01851852
8.30%,61.18055556
8.40%,61.29439815
8.50%,61.41203704
8.60%,61.55092593
8.70%,61.66666667
8.80%,61.78240741
8.90%,61.88888889
9.00%,61.99074074
9.10%,62.10648148
9.20%,62.22222222
9.30%,62.33796296
9.40%,62.44444444
9.50%,62.5462963
9.60%,62.63888889
9.70%,62.75
9.80%,62.84722222
9.90%,62.95138889
10.00%,63.05555556
10.10%,63.14814815
10.20%,63.25
10.30%,63.35648148
10.40%,63.44907407
10.50%,63.52840278
10.60%,63.63425926
10.70%,63.72685185
10.80%,63.81944444
10.90%,63.91203704
11.00%,64.00087963
11.10%,64.09722222
11.20%,64.18981481
11.30%,64.27777778
11.40%,64.35185185
11.50%,64.44444444
11.60%,64.53703704
11.70%,64.65277778
11.80%,64.72222222
11.90%,64.81481481
12.00%,64.88425926
12.10%,64.97272685
12.20%,65.06944444
12.30%,65.13888889
12.40%,65.23144444
12.50%,65.30092593
12.60%,65.41666667
12.70%,65.48611111
12.80%,65.55555556
12.90%,65.64978009
13.00%,65.75
13.10%,65.81018519
13.20%,65.88888889
13.30%,65.97222222
13.40%,66.04166667
13.50%,66.11111111
13.60%,66.18055556
13.70%,66.25
13.80%,66.33333333
13.90%,66.41203704
14.00%,66.50462963
14.10%,66.58333333
14.20%,66.66666667
